COM_LOCALIZACAO,COM_NOME,BLOB_PRESENTE,BLOB_FORMAT_DETECTADO,BLOB_WxH,FILE_SALVO,STATUS,COM_ULTIMA_ALTERACAO
LITERAL - TCHEKHOV.mp4,LITERAL (2012) - TCHEKHOV,1,BMP,160x90,C:\EPG\thumbs\LITERAL - TCHEKHOV.jpg,OK,2025-08-29 10:21:27.244000
DOC UNIVERSIDADE I EU ERA FELIZ E NÃO SABIA.mp4,DOC UNIVERSIDADE (2023) - EU ERA FELIZ E NÃO SABIA,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-19 10:17:49.910000
DOC UNIVERSIDADE I O ÚLTIMO SINAL.mp4,DOC UNIVERSIDADE (2023) - O ÚLTIMO SINAL,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-19 10:17:51.568000
LITERAL - CRISTOVÃO TEZZA.mp4,LITERAL (2012) - CRISTOVÃO TEZZA,1,BMP,160x90,C:\EPG\thumbs\LITERAL - CRISTOVÃO TEZZA.jpg,OK,2025-08-29 10:18:17.816000
,,1,BMP,160x90,C:\EPG\thumbs\sem_nome.jpg,OK,
DOC UNIVERSIDADE I SAUDADE.mp4,DOC UNIVERSIDADE (2023) - SAUDADE,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-19 10:17:52.122000
DOC UNIVERSIDADE I AMAR SE APRENDE AMANDO.mp4,DOC UNIVERSIDADE (2023) - AMAR SE APRENDE AMANDO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-19 10:17:49.359000
DOC UNIVERSIDADE I O RIO QUE VIVE AO LADO.mp4,DOC UNIVERSIDADE (2023) - O RIO QUE VIVE AO LADO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-19 10:17:51.292000
DOC UNIVERSIDADE I MUROS IMATERIAIS.mp4,DOC UNIVERSIDADE (2023) - MUROS IMATERIAIS,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-19 10:17:50.729000
DOC UNIVERSIDADE I HÁ APENAS NATUREZA.mp4,DOC UNIVERSIDADE (2023) - HÁ APENAS NATUREZA,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-19 10:17:50.183000
DOC UNIVERSIDADE I NÃO É UMA ESCOLHA.mp4,DOC UNIVERSIDADE (2023) - NÃO É UMA ESCOLHA,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-19 10:17:51.014000
LUGAR DE MULHER - KETLIN CORREIA.mp4,LUGAR DE MULHER - KETLIN CORREIA,1,BMP,160x90,C:\EPG\thumbs\LUGAR DE MULHER - KETLIN CORREIA.jpg,OK,2025-07-28 12:36:27.102000
BOLETIM - ABERTA AS INSCRIÇÕES PARA O ENCONTRO SABERES.mp4,BOLETIM - ABERTA AS INSCRIÇÕES PARA O ENCONTRO SABERES,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-19 09:47:49.241000
,,1,BMP,160x90,C:\EPG\thumbs\sem_nome.jpg,OK,
,,1,BMP,160x90,C:\EPG\thumbs\sem_nome.jpg,OK,
,,1,BMP,160x90,C:\EPG\thumbs\sem_nome.jpg,OK,
SACA SÓ - BANHEIRO ACOLHEDOR.mp4,SACA SÓ - BANHEIRO ACOLHEDOR,1,BMP,160x90,C:\EPG\thumbs\SACA SÓ - BANHEIRO ACOLHEDOR.jpg,OK,2025-08-29 09:46:06.909000
,,1,BMP,160x90,C:\EPG\thumbs\sem_nome.jpg,OK,
,,1,BMP,160x90,C:\EPG\thumbs\sem_nome.jpg,OK,
,,1,BMP,160x90,C:\EPG\thumbs\sem_nome.jpg,OK,
,,1,BMP,160x90,C:\EPG\thumbs\sem_nome.jpg,OK,
,,1,BMP,160x90,C:\EPG\thumbs\sem_nome.jpg,OK,
LITERAL - DOSTOIEVSKI.mp4,LITERAL (2012) - DOSTOIEVSKI,1,BMP,160x90,C:\EPG\thumbs\LITERAL - DOSTOIEVSKI.jpg,OK,2025-08-29 10:18:24.596000
LITERAL - FERNANDO PESSOA.mp4,LITERAL (2012) - FERNANDO PESSOA,1,BMP,160x90,C:\EPG\thumbs\LITERAL - FERNANDO PESSOA.jpg,OK,2025-08-29 10:18:32.628000
BOLETIM - PRÊMIO PARABÉNS PROFESSOR.mp4,BOLETIM - PRÊMIO PARABÉNS PROFESSOR,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-19 09:47:50.737000
LITERAL - JOSÉ SARAMAGO.mp4,LITERAL (2012) - JOSÉ SARAMAGO,1,BMP,160x90,C:\EPG\thumbs\LITERAL - JOSÉ SARAMAGO.jpg,OK,2025-08-29 10:18:47.312000
LITERAL - JOHN BOYNE.mp4,LITERAL (2012) - JOHN BOYNE,1,BMP,160x90,C:\EPG\thumbs\LITERAL - JOHN BOYNE.jpg,OK,2025-08-29 10:18:39.878000
UFOP EXPLICA SAÚDE - AUTOCONFIANÇA E AUTOESTIMA.mp4,UFOP EXPLICA - AUTOCONFIANÇA E AUTOESTIMA,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 13:51:04.714000
LITERAL - ROBERTO DRUMMOND.mp4,LITERAL (2012) - ROBERTO DRUMMOND,1,BMP,160x90,C:\EPG\thumbs\LITERAL - ROBERTO DRUMMOND.jpg,OK,2025-08-29 10:19:05.843000
LITERAL - ADRIANA LUNARDI.mp4,LITERAL (2012) - ADRIANA LUNARDI,1,BMP,160x90,C:\EPG\thumbs\LITERAL - ADRIANA LUNARDI.jpg,OK,2025-08-29 10:17:51.863000
LITERAL - CONTOS INFANTIS.mp4,LITERAL (2012) - CONTOS INFANTIS,1,BMP,160x90,C:\EPG\thumbs\LITERAL - CONTOS INFANTIS.jpg,OK,2025-08-29 10:18:09.628000
UFOP EXPLICA - DEMOCRATIZAÇÃO DO TEATRO.mp4,UFOP EXPLICA - DEMOCRATIZAÇÃO DO TEATRO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 13:51:07.161000
LITERAL - CLARICE LISPECTOR.mp4,LITERAL (2012) - CLARICE LISPECTOR,1,BMP,160x90,C:\EPG\thumbs\LITERAL - CLARICE LISPECTOR.jpg,OK,2025-08-29 10:18:01.661000
NA SACADA - QUADRO FINO .mp4,NA SACADA (2013) - EP13 - QUADRO FINO ,1,BMP,160x90,C:\EPG\thumbs\NA SACADA - QUADRO FINO .jpg,OK,2025-09-01 14:00:24.736000
LITERAL - LAURENTINO GOMES.mp4,LITERAL (2012) - LAURENTINO GOMES,1,BMP,160x90,C:\EPG\thumbs\LITERAL - LAURENTINO GOMES.jpg,OK,2025-08-29 10:18:55.744000
MAIS UFOP I PÓS-GRADUAÇÃO EM CIÊNCIA DA COMPUTAÇÃO.mp4,MAIS UFOP I PÓS-GRADUAÇÃO EM CIÊNCIA DA COMPUTAÇÃO,1,BMP,160x90,C:\EPG\thumbs\MAIS UFOP I PÓS-GRADUAÇÃO EM CIÊNCIA DA COMPUTAÇÃO.jpg,OK,2025-09-04 10:13:03.130000
NA SACADA (2013) - EP11 - SARRAVULHO.mp4,NA SACADA (2013) - EP11 - SARRAVULHO,1,BMP,160x90,C:\EPG\thumbs\NA SACADA (2013) - EP11 - SARRAVULHO.jpg,OK,2025-09-04 09:52:06.498000
