COM_LOCALIZACAO,COM_NOME,BLOB_PRESENTE,BLOB_ABRE,BLOB_WxH,FILE_ESPERADO,FILE_ENCONTRADO,FILE_ABRE,FILE_WxH,AHASH_DIST_0..64,STATUS,COM_ULTIMA_ALTERACAO,URL_ESPERADA
"PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I E VIVA O NOSSO PRETUGUÊS 1.mp4","PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ - E VIVA O NOSSO PRETUGUÊS 1",1,1,160x90,"C:\EPG\thumbs\PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I E VIVA O NOSSO PRETUGUÊS 1.jpg","C:\EPG\thumbs\PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I E VIVA O NOSSO PRETUGUÊS 1.jpg",1,160x90,1,OK,2025-08-29 11:02:06.451000,https://app.tvufop.com.br/epg/PORTUGU%C3%8AS%20DAQUI%2C%20PORTUGU%C3%8AS%20DE%20L%C3%81%20I%20E%20VIVA%20O%20NOSSO%20PRETUGU%C3%8AS%201.jpg
QUE CORPO É ESSE I T1 I EPISÓDIO 1.mp4,QUE CORPO É ESSE? - EU TENHO UM CORPO,1,0,,C:\EPG\thumbs\QUE CORPO É ESSE I T1 I EPISÓDIO 1.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-18 10:49:18.161000,https://app.tvufop.com.br/epg/QUE%20CORPO%20%C3%89%20ESSE%20I%20T1%20I%20EPIS%C3%93DIO%201.jpg
"PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I E VIVA O NOSSO PRETUGUÊS 2.mp4","PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ - E VIVA O NOSSO PRETUGUÊS 2",1,1,160x90,"C:\EPG\thumbs\PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I E VIVA O NOSSO PRETUGUÊS 2.jpg","C:\EPG\thumbs\PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I E VIVA O NOSSO PRETUGUÊS 2.jpg",1,160x90,1,OK,2025-08-29 11:02:11.752000,https://app.tvufop.com.br/epg/PORTUGU%C3%8AS%20DAQUI%2C%20PORTUGU%C3%8AS%20DE%20L%C3%81%20I%20E%20VIVA%20O%20NOSSO%20PRETUGU%C3%8AS%202.jpg
(IN)CONFIDÊNCIAS - MICHEL LAUB - 2.mp4,(IN)CONFIDÊNCIAS (2025) - EP14 - MICHEL LAUB,1,0,,C:\EPG\thumbs\(IN)CONFIDÊNCIAS - MICHEL LAUB - 2.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-16 14:55:08.132000,https://app.tvufop.com.br/epg/%28IN%29CONFID%C3%8ANCIAS%20-%20MICHEL%20LAUB%20-%202.jpg
SALA DE CONVIDADOS - MUDANÇAS NA OMS.mp4,SALA DE CONVIDADOS - MUDANÇAS NA OMS,1,1,160x90,C:\EPG\thumbs\SALA DE CONVIDADOS - MUDANÇAS NA OMS.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-03-28 09:38:22.744000,https://app.tvufop.com.br/epg/SALA%20DE%20CONVIDADOS%20-%20MUDAN%C3%87AS%20NA%20OMS.jpg
QUE CORPO É ESSE I T1 I EPISÓDIO 2.mp4,QUE CORPO É ESSE? - PRIVADO E PÚBLICO,1,0,,C:\EPG\thumbs\QUE CORPO É ESSE I T1 I EPISÓDIO 2.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-18 10:49:18.549000,https://app.tvufop.com.br/epg/QUE%20CORPO%20%C3%89%20ESSE%20I%20T1%20I%20EPIS%C3%93DIO%202.jpg
(IN)CONFIDÊNCIAS - MICHEL LAUB - 1.mp4,(IN)CONFIDÊNCIAS (2025) - EP13 - MICHEL LAUB,1,0,,C:\EPG\thumbs\(IN)CONFIDÊNCIAS - MICHEL LAUB - 1.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-16 14:55:00.931000,https://app.tvufop.com.br/epg/%28IN%29CONFID%C3%8ANCIAS%20-%20MICHEL%20LAUB%20-%201.jpg
"PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I LES DEFENESTRATIONS DO FRANCÊS E PORTUGUÊS.mp4","PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ - LES DEFENESTRATIONS DO FRANCÊS E PORTUGUÊS",1,1,160x90,"C:\EPG\thumbs\PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I LES DEFENESTRATIONS DO FRANCÊS E PORTUGUÊS.jpg",,0,,,ARQUIVO_NAO_ENCONTRADO,2025-08-29 11:02:18.619000,https://app.tvufop.com.br/epg/PORTUGU%C3%8AS%20DAQUI%2C%20PORTUGU%C3%8AS%20DE%20L%C3%81%20I%20LES%20DEFENESTRATIONS%20DO%20FRANC%C3%8AS%20E%20PORTUGU%C3%8AS.jpg
QUE CORPO É ESSE I T1 I EPISÓDIO 3.mp4,QUE CORPO É ESSE? - É DE MENINO OU DE MENINA?,1,0,,C:\EPG\thumbs\QUE CORPO É ESSE I T1 I EPISÓDIO 3.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-18 10:49:18.052000,https://app.tvufop.com.br/epg/QUE%20CORPO%20%C3%89%20ESSE%20I%20T1%20I%20EPIS%C3%93DIO%203.jpg
"PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I O PORTUGUÊS É REALMENTE UMA LÍNGUA DIFÍCIL.mp4","PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ - O PORTUGUÊS É REALMENTE UMA LÍNGUA DIFÍCIL?",1,1,160x90,"C:\EPG\thumbs\PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I O PORTUGUÊS É REALMENTE UMA LÍNGUA DIFÍCIL.jpg","C:\EPG\thumbs\PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I O PORTUGUÊS É REALMENTE UMA LÍNGUA DIFÍCIL.jpg",1,160x90,2,OK,2025-08-29 11:03:20.451000,https://app.tvufop.com.br/epg/PORTUGU%C3%8AS%20DAQUI%2C%20PORTUGU%C3%8AS%20DE%20L%C3%81%20I%20O%20PORTUGU%C3%8AS%20%C3%89%20REALMENTE%20UMA%20L%C3%8DNGUA%20DIF%C3%8DCIL.jpg
